Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
281814,2020-10-04 19:19:20,213157767990030,fraud_Kilback LLC,food_dining,39.13,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,1984-08-01,cd32831ee83e3ff924d3f0bdd3beb67b,1380914360,41.30067,-108.679972,0
90540,2020-07-22 09:35:41,4306586894261180,"fraud_Cremin, Hamill and Reichel",misc_pos,2.63,Renee,Walls,F,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,40.1186,-87.2602,4049,"Development worker, community",1959-10-19,643911ba24fe4cd2beba3c7ac736a9c4,1374485741,40.196518,-87.402843,0
56171,2020-07-10 21:55:57,501802953619,fraud_Abernathy and Sons,food_dining,12.62,Robert,Flores,M,3277 Fields Meadows Apt. 790,Greenview,CA,96037,41.5403,-122.9366,308,Call centre manager,1958-09-20,a03fb9abb5876052914d1ed4fc1d6c81,1373493357,40.641542,-123.784995,0
208384,2020-09-01 23:23:33,5410056176712193,fraud_Botsford and Sons,home,69.31,Jeffrey,Krause,M,4742 Alexandria Mountain,New Franken,WI,54229,44.5592,-87.8235,4306,Art therapist,1989-10-19,b598c6c18fd646874775758a24b8d310,1378077813,45.476002,-86.984879,0
420553,2020-12-01 18:19:06,3511378610369890,"fraud_O'Reilly, Mohr and Purdy",home,59.33,James,Cooper,M,663 Ramirez Trace Apt. 951,Huntsville,AL,35811,34.7789,-86.5438,190178,Television production assistant,1973-04-01,38be7f4f7bc1d8f069fff338bf7b5706,1385921946,35.23918,-85.751529,0
488651,2020-12-16 22:31:29,6517217825320610,fraud_Morissette LLC,entertainment,24.04,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",1958-06-11,2909b3ffc4485461586bd5a5b4c7c7f8,1387233089,31.755261,-90.641093,0
458463,2020-12-10 11:13:22,6011626928491360,fraud_Kihn-Schuster,food_dining,80.73,Heather,Roberts,F,62934 Maria Cliffs Suite 350,Bethel Springs,TN,38315,35.2289,-88.64399999999999,3876,Senior tax professional/tax inspector,1960-11-19,1b08a4c8ff7764b562f63ac05831c061,1386674002,34.590675,-88.349613,0
413143,2020-11-30 15:04:28,30143713661454,fraud_Leannon-Ward,food_dining,17.31,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1942-01-06,9de78fd04c027e1e3d9563f08e01a74e,1385823868,48.002226,-96.259012,0
145074,2020-08-10 21:12:56,3545109339866548,fraud_Bartoletti and Sons,personal_care,43.86,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,1999-03-05,3855cf3d56b82241cd61431e6b5d6232,1376169176,33.422996000000005,-90.87513,0
139200,2020-08-09 08:24:39,4584931703207308232,fraud_Hintz-Bruen,grocery_net,51.83,Amanda,Gomez,F,8152 Brittany Centers,Dallas,TX,75218,32.8463,-96.6972,1263321,"Designer, ceramics/pottery",1975-04-16,ff2800ccdb2506e76ed6a9581a69b51e,1376036679,32.561349,-95.921202,0
3679,2020-06-22 12:25:17,3598304579370089,fraud_Mohr-Bayer,shopping_net,1.1,Vincent,Flowers,M,0189 Emily Prairie,Wichita,KS,67232,37.6395,-97.1714,409656,Heritage manager,1985-12-27,7e4302987e8c763a9abe668fb6d3d7b0,1371903917,38.483004,-97.184751,0
476705,2020-12-14 14:08:34,6011438889172900,fraud_Kuhn LLC,shopping_pos,28.79,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,1993-04-08,5a037189ff73aa48c50c9af5cc557a49,1387030114,33.76296,-90.334451,0
