Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
4351,2019-01-03 17:32:32,502012776709,"fraud_Graham, Hegmann and Hammes",food_dining,95.23,Sherry,Martinez,F,144 Yu Locks Apt. 754,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20,a30c685ed05d7fb03fab55429df75c7f,1325611952.0,42.183305,-75.04399699999999,0.0
10034,2019-01-07 04:15:10,2280870154157385,"fraud_Schultz, Simonis and Little",grocery_pos,143.91,Katherine,Cooper,F,3854 Lauren Springs Suite 648,Oakford,IL,62673,40.0994,-89.9601,530,Transport planner,1967-09-23,d3c13e400b06383c81e9f0db686e2efc,1325909710.0,40.148489,-89.127842,0.0
10673,2019-01-07 12:29:51,4956828990005111019,fraud_Kemmer-Buckridge,misc_pos,3.34,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,b8bb06bb9d912a40ce05316c0f6fe024,1325939391.0,39.836138,-73.884208,0.0
2683,2019-01-02 07:14:45,639046421587,"fraud_Kerluke, Kertzmann and Wiza",misc_net,106.01,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",1986-06-20,34c317fd8da26988c00a1e1c10096c2a,1325488485.0,40.308191,-80.130492,0.0
10524,2019-01-07 10:52:23,180046765320457,fraud_Kerluke Inc,misc_net,3.66,Jared,Camacho,M,4257 Perez Mall,Canton,OH,44702,40.8027,-81.3739,192805,Building control surveyor,1963-06-30,0c2266740e545ee86556100bdbaabc05,1325933543.0,39.827793,-81.308162,0.0
1825,2019-01-01 19:07:22,581686439828,fraud_McKenzie-Huels,food_dining,1.88,Larry,House,M,911 Sabrina Trafficway,Cochranton,PA,16314,41.5205,-80.0573,5507,Retail merchandiser,1973-07-28,84419b38e031673139124f5a8824eea9,1325444842.0,41.228411,-80.882581,0.0
5767,2019-01-04 17:58:53,4377338765909719,fraud_Windler LLC,kids_pets,83.46,Nicholas,Mcmahon,M,2123 Jonathan Falls Suite 753,Heiskell,TN,37754,36.115,-84.0438,4729,"Geologist, wellsite",1982-04-19,d53493b846933731783e637046481e78,1325699933.0,35.60255,-84.099069,0.0
498,2019-01-01 06:32:36,4585132874641,fraud_Erdman-Kertzmann,gas_transport,69.72,Karen,Gordon,F,543 Ware Path Apt. 593,Utica,MO,64686,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18,6ed5502e8464efee2e341959617bb656,1325399556.0,39.053407,-93.972916,0.0
1041,2019-01-01 13:00:39,60495593109,"fraud_McDermott, Osinski and Morar",home,67.19,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1942-11-24,e354c2e73e5448f5886f5cd69bad5587,1325422839.0,32.02622,-96.179015,0.0
11641,2019-01-07 20:04:12,377654590313960,fraud_Botsford and Sons,home,40.05,Lawrence,Davis,M,7421 Serrano Lane Apt. 580,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",1969-02-22,24317b656d7953b96e2e0401e9da4953,1325966652.0,36.577662,-83.178457,0.0
2017,2019-01-01 20:45:41,30143535920989,fraud_Wilkinson LLC,personal_care,31.76,Lisa,Collins,F,44197 Jeffrey Port Suite 050,Bridgeport,NJ,8014,39.8016,-75.3478,504,"Engineer, control and instrumentation",1980-08-17,63fe8decdde588efc3a2807468efe013,1325450741.0,40.112901,-75.806242,0.0
5902,2019-01-04 19:32:58,4301028321766222513,"fraud_Pouros, Walker and Spencer",kids_pets,47.31,Joe,Howard,M,109 Brian Lights Apt. 504,Shippingport,PA,15077,40.6025,-80.3863,198,Secretary/administrator,1978-10-26,3fb54b039badd1d54cb42dbd8e80a2e6,1325705578.0,40.51051,-79.591773,0.0
9482,2019-01-06 22:01:52,630469040731,fraud_Connelly PLC,food_dining,6.63,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1936-05-01,d8d05be11d69ab18d403c3062741b712,1325887312.0,45.416338,-121.153057,0.0
8518,2019-01-06 12:39:00,341546199006537,fraud_Kutch-Ferry,home,16.71,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,cddc246341317254a9ec683b25f17031,1325853540.0,64.273084,-165.779181,0.0
